city;country_id/id;id;is_company;customer;lang;lastname;street;street2;tz;zip
BORDEAUX;base.fr;scenario.company_agencyfr_center135_res_partner;True;True;fr_FR;BORDEAUX PEY BERLAND;91 Rue du Loup;;Europe/Paris;33000
BORDEAUX;base.fr;scenario.user_center_bordeaux2_res_partner;False;False;fr_FR;BORDEAUX PEY BERLAND;91 Rue du Loup;;Europe/Paris;33000
PARIS;base.fr;scenario.company_agencyfr_center136_res_partner;True;True;fr_FR;PARIS 17;19 rue Théodore de Banville;;Europe/Paris;75017
CLERMONT-FERRAND;base.fr;scenario.company_agencyfr_center137_res_partner;True;True;fr_FR;AVIGNON LES ANGLES;71 Boulevard BERTHELOT;;Europe/Paris;63000
LES ANGLES;base.fr;scenario.user_center_avignon-lesangles_res_partner;False;False;fr_FR;AVIGNON LES ANGLES;Centre Commercial Grand Angle;;Europe/Paris;30133
CARQUEIRANNE;base.fr;scenario.company_agencyfr_center138_res_partner;True;True;fr_FR;HYÈRES;96 Val de l'éolienne;;Europe/Paris;83320
HYÈRES;base.fr;scenario.user_center_hyeres_res_partner;False;False;fr_FR;HYÈRES;1 bis rue soldat bellon;;Europe/Paris;83400
BIARRITZ;base.fr;scenario.company_agencyfr_center140_res_partner;True;True;fr_FR;BIARRITZ;14 Allée de la Forêt;;Europe/Paris;64200
ALES;base.fr;scenario.company_agencyfr_center141_res_partner;True;True;fr_FR;ALÈS;6 Rue Albert 1er;;Europe/Paris;30100
MONTLUÇON;base.fr;scenario.company_agencyfr_center143_res_partner;True;True;fr_FR;BOURGES;9 rue du faubourg St Pierre;;Europe/Paris;3100
BOURGES;base.fr;scenario.user_center_bourges_res_partner;False;False;fr_FR;BOURGES;Centre Commercial Avaricum;;Europe/Paris;18000
TOURNEFEUILLE;base.fr;scenario.company_agencyfr_center144_res_partner;True;True;fr_FR;CASTRES;16 rue du Cours d'eau;;Europe/Paris;31170
PERPIGNAN;base.fr;scenario.company_agencyfr_center145_res_partner;True;True;fr_FR;PERPIGNAN;235 avenue d'Espagne;;Europe/Paris;66000
PERPIGNAN;base.fr;scenario.user_center_perpignan_res_partner;False;False;fr_FR;PERPIGNAN;235 avenue d'Espagne;;Europe/Paris;66000
LYON;base.fr;scenario.company_agencyfr_center146_res_partner;True;True;fr_FR;LYON 4 CROIX-ROUSSE;20 rue du Mail;;Europe/Paris;69004
LYON;base.fr;scenario.user_center_lyon4_res_partner;False;False;fr_FR;LYON 4 CROIX-ROUSSE;20 rue du Mail;;Europe/Paris;69004
NEUILLY SUR SEINE;base.fr;scenario.company_agencyfr_center147_res_partner;True;True;fr_FR;NEUILLY SUR SEINE;203 avenue Achille PERETTI;;Europe/Paris;92200
